IP地址,隧道协议,已发送,已接收,丢包率,平均延迟(ms),RTT1(ms),RTT2(ms),RTT3(ms),RTT4(ms)
188.114.96.158:1180,WireGuard,4,4,0%,147,140,143,146,157
188.114.96.5:1387,WireGuard,4,4,0%,147,141,144,148,154
188.114.96.178:854,WireGuard,4,4,0%,148,154,155,141,142
188.114.96.200:943,WireGuard,4,4,0%,149,152,154,142,146
188.114.96.222:955,WireGuard,4,4,0%,149,156,153,141,146
[2606:4700:d1::e4b1:53f2:3bff]:934,WireGuard,4,4,0%,149,149,154,145,150
188.114.96.89:1014,WireGuard,4,4,0%,149,150,153,142,152
188.114.96.212:934,WireGuard,4,4,0%,150,152,140,152,155
188.114.96.239:955,WireGuard,4,4,0%,150,152,151,155,142
188.114.96.89:8742,WireGuard,4,4,0%,150,147,162,143,148
188.114.96.234:987,WireGuard,4,4,0%,150,157,156,143,146
[2606:4700:d1::7db2:ccec:bbbb]:864,WireGuard,4,4,0%,150,154,155,146,146
188.114.96.13:1010,WireGuard,4,4,0%,151,155,145,149,154
188.114.96.174:1014,WireGuard,4,4,0%,151,146,148,155,155
[2606:4700:d1::ec0:2144:cc51]:2408,WireGuard,4,4,0%,151,153,152,157,142
188.114.96.99:890,WireGuard,4,4,0%,151,150,150,151,153
188.114.96.163:928,WireGuard,4,4,0%,151,144,147,162,151
[2606:4700:d1::974:b8f8:dd90]:8854,WireGuard,4,4,0%,151,157,154,147,146
[2606:4700:d1::5e43:71b0:32f8]:3854,WireGuard,4,4,0%,151,154,152,157,142
188.114.96.40:7559,WireGuard,4,4,0%,151,150,150,152,153
188.114.96.214:8886,WireGuard,4,4,0%,151,157,156,152,142
[2606:4700:d1::238e:26a7:d668]:2408,WireGuard,4,4,0%,152,154,144,155,154
188.114.96.22:2371,WireGuard,4,4,0%,152,153,157,152,144
[2606:4700:d1::90fc:c371:b6ae]:1701,WireGuard,4,4,0%,152,150,154,154,147
188.114.96.94:955,WireGuard,4,4,0%,152,153,149,151,153
188.114.96.124:987,WireGuard,4,4,0%,152,154,146,156,150
188.114.96.103:864,WireGuard,4,4,0%,152,152,152,151,152
188.114.96.197:891,WireGuard,4,4,0%,152,155,154,146,152
188.114.96.253:1002,WireGuard,4,4,0%,152,155,156,146,151
[2606:4700:d1::6c28:ca28:987b]:988,WireGuard,4,4,0%,152,153,156,157,142
188.114.96.75:2408,WireGuard,4,4,0%,152,157,155,154,142
188.114.96.77:4177,WireGuard,4,4,0%,152,144,155,155,154
[2606:4700:d1::594f:2075:e21a]:2408,WireGuard,4,4,0%,152,151,151,153,153
[2606:4700:d1::b9c2:5537:ea1]:987,WireGuard,4,4,0%,152,156,144,152,156
[2606:4700:d1::faff:5b47:cbfd]:5279,WireGuard,4,4,0%,152,150,155,146,157
188.114.96.240:859,WireGuard,4,4,0%,152,157,144,152,156
[2606:4700:d1::5f9f:41f1:ee1f]:987,WireGuard,4,4,0%,152,150,155,146,157
188.114.96.213:500,WireGuard,4,4,0%,152,154,156,157,142
[2606:4700:d1::b55d:1804:339]:1074,WireGuard,4,4,0%,152,154,156,157,142
188.114.96.182:1002,WireGuard,4,4,0%,152,155,148,152,154
188.114.96.214:4177,WireGuard,4,4,0%,152,158,155,155,143
188.114.96.236:968,WireGuard,4,4,0%,152,155,159,151,144
[2606:4700:d1::d179:5bcc:c79e]:878,WireGuard,4,4,0%,152,157,155,145,153
188.114.96.111:1387,WireGuard,4,4,0%,152,151,156,155,148
188.114.96.174:5956,WireGuard,4,4,0%,153,156,152,152,150
[2606:4700:d1::c693:61a6:78c3]:8319,WireGuard,4,4,0%,153,146,156,154,155
[2606:4700:d1::263d:e32a:c3e3]:1180,WireGuard,4,4,0%,153,146,156,155,154
[2606:4700:d1::47d6:9c43:aa6a]:8854,WireGuard,4,4,0%,153,156,156,157,142
188.114.96.100:3581,WireGuard,4,4,0%,153,157,153,157,144
[2606:4700:d1::bcb4:a695:936f]:934,WireGuard,4,4,0%,153,155,155,146,155
[2606:4700:d1::e334:a449:9354]:1010,WireGuard,4,4,0%,153,155,155,146,155
188.114.96.60:891,WireGuard,4,4,0%,153,156,156,146,153
[2606:4700:d1::b220:96bc:92cb]:890,WireGuard,4,4,0%,153,146,156,155,154
[2606:4700:d1::d584:a6ad:57c3]:4177,WireGuard,4,4,0%,153,151,155,151,154
[2606:4700:d1::ca31:820f:6c0e]:1074,WireGuard,4,4,0%,153,156,144,152,159
188.114.96.33:859,WireGuard,4,4,0%,153,157,146,155,154
[2606:4700:d1::48c9:82b0:2f59]:946,WireGuard,4,4,0%,153,157,155,155,144
[2606:4700:d1::8dd8:2caa:fda6]:1014,WireGuard,4,4,0%,153,152,152,153,154
188.114.96.74:1002,WireGuard,4,4,0%,153,152,152,153,154
188.114.96.117:854,WireGuard,4,4,0%,153,148,154,154,155
188.114.96.207:939,WireGuard,4,4,0%,153,155,158,155,144
188.114.96.87:4177,WireGuard,4,4,0%,153,152,154,153,153
188.114.96.161:943,WireGuard,4,4,0%,153,155,154,153,149
188.114.96.162:2408,WireGuard,4,4,0%,153,154,154,155,149
[2606:4700:d1::a01e:5c28:a98f]:7281,WireGuard,4,4,0%,153,154,152,153,153
188.114.96.123:890,WireGuard,4,4,0%,153,155,147,155,155
188.114.96.236:500,WireGuard,4,4,0%,153,153,151,154,154
[2606:4700:d1::23ec:12f8:8214]:4177,WireGuard,4,4,0%,153,155,152,152,153
188.114.96.48:4177,WireGuard,4,4,0%,153,150,153,154,155
[2606:4700:d1::81e6:100c:cae]:939,WireGuard,4,4,0%,153,156,144,156,156
[2606:4700:d1::6bb7:529b:d355]:5956,WireGuard,4,4,0%,153,155,158,156,143
188.114.96.160:891,WireGuard,4,4,0%,153,154,153,154,152
188.114.96.170:859,WireGuard,4,4,0%,153,157,155,145,155
188.114.96.116:4177,WireGuard,4,4,0%,153,147,158,152,157
[2606:4700:d1::d1ff:d7ae:88db]:891,WireGuard,4,4,0%,153,153,154,154,152
188.114.96.221:903,WireGuard,4,4,0%,153,154,153,154,153
[2606:4700:d1::ee30:c8ef:46b2]:891,WireGuard,4,4,0%,153,156,144,157,156
188.114.96.93:1070,WireGuard,4,4,0%,153,154,154,153,153
[2606:4700:d1::79a0:4f79:adb3]:891,WireGuard,4,4,0%,153,156,144,156,157
188.114.96.46:7152,WireGuard,4,4,0%,153,154,154,153,153
[2606:4700:d1::995d:54c5:7c73]:2506,WireGuard,4,4,0%,153,153,153,153,154
[2606:4700:d1::4176:fb02:de14]:894,WireGuard,4,4,0%,153,155,152,152,155
188.114.96.245:878,WireGuard,4,4,0%,153,154,155,156,149
188.114.96.250:7152,WireGuard,4,4,0%,153,154,154,152,154
188.114.96.120:891,WireGuard,4,4,0%,153,155,152,153,154
188.114.96.118:890,WireGuard,4,4,0%,153,155,153,153,153
188.114.96.69:946,WireGuard,4,4,0%,153,154,153,153,153
[2606:4700:d1::e4b1:2e51:51cb]:500,WireGuard,4,4,0%,153,155,157,145,157
[2606:4700:d1::e334:a449:9354]:8319,WireGuard,4,4,0%,153,154,153,154,152
[2606:4700:d1::995d:54c5:7c73]:2371,WireGuard,4,4,0%,153,155,156,156,147
188.114.96.88:3476,WireGuard,4,4,0%,153,154,154,151,154
[2606:4700:d1::3ed6:9dfc:c033]:943,WireGuard,4,4,0%,153,154,154,153,153
[2606:4700:d1::b7a6:3e4:be33]:1701,WireGuard,4,4,0%,153,153,153,154,154
[2606:4700:d1::fdd:cf06:bac]:1180,WireGuard,4,4,0%,153,154,153,152,154
[2606:4700:d1::2c0e:f333:3dd4]:942,WireGuard,4,4,0%,153,155,153,153,153
188.114.96.245:7281,WireGuard,4,4,0%,153,153,153,154,154
[2606:4700:d1::82f9:d2bb:66ac]:988,WireGuard,4,4,0%,153,153,154,153,154
[2606:4700:d1::aa19:c540:9314]:8319,WireGuard,4,4,0%,153,154,153,154,153
188.114.96.146:1387,WireGuard,4,4,0%,153,154,153,153,153
[2606:4700:d1::d2a9:38e2:6c4c]:5956,WireGuard,4,4,0%,153,153,154,154,153
[2606:4700:d1::7dc9:13fd:eae7]:500,WireGuard,4,4,0%,153,155,150,155,154
188.114.96.4:878,WireGuard,4,4,0%,153,154,153,153,154
188.114.96.242:7559,WireGuard,4,4,0%,153,155,147,156,155
[2606:4700:d1::f57d:f8f6:da29]:2371,WireGuard,4,4,0%,154,145,156,156,157
[2606:4700:d1::a815:1c92:b716]:1010,WireGuard,4,4,0%,154,153,153,154,154
188.114.96.136:1180,WireGuard,4,4,0%,154,156,154,149,156
188.114.96.185:7152,WireGuard,4,4,0%,154,154,154,154,153
[2606:4700:d1::76fe:fa3a:99a7]:859,WireGuard,4,4,0%,154,153,154,153,153
188.114.96.107:500,WireGuard,4,4,0%,154,153,154,155,153
188.114.96.228:7103,WireGuard,4,4,0%,154,154,154,153,153
188.114.96.98:2408,WireGuard,4,4,0%,154,154,154,154,153
[2606:4700:d1::5ba6:4a3:878]:4500,WireGuard,4,4,0%,154,153,153,155,152
188.114.96.243:1018,WireGuard,4,4,0%,154,154,153,154,153
188.114.96.244:890,WireGuard,4,4,0%,154,154,153,154,154
188.114.96.195:1014,WireGuard,4,4,0%,154,152,152,157,154
188.114.96.233:987,WireGuard,4,4,0%,154,155,151,153,156
188.114.96.25:4198,WireGuard,4,4,0%,154,154,154,154,152
188.114.96.49:945,WireGuard,4,4,0%,154,154,154,154,152
188.114.96.19:1074,WireGuard,4,4,0%,154,153,154,154,154
188.114.96.58:1074,WireGuard,4,4,0%,154,153,154,154,153
[2606:4700:d1::94c0:3365:8730]:7156,WireGuard,4,4,0%,154,154,155,154,152
[2606:4700:d1::8f72:49b7:6ec3]:928,WireGuard,4,4,0%,154,154,153,155,153
[2606:4700:d1::a108:ea3f:2d27]:2408,WireGuard,4,4,0%,154,154,154,153,154
188.114.96.184:894,WireGuard,4,4,0%,154,154,154,154,153
188.114.96.162:1002,WireGuard,4,4,0%,154,154,153,154,154
[2606:4700:d1::a815:1c92:b716]:880,WireGuard,4,4,0%,154,155,153,153,154
[2606:4700:d1::b6ab:9db:f563]:880,WireGuard,4,4,0%,154,155,153,153,154
[2606:4700:d1::b75e:a240:3778]:1180,WireGuard,4,4,0%,154,155,153,154,152
188.114.96.223:945,WireGuard,4,4,0%,154,154,154,153,154
